,Everton,Sheffield United,Leicester City,Chelsea,Liverpool,Southampton,Norwich City,Burnley,Manchester United,Crystal Palace,Wolverhampton Wanderers,West Ham United,Tottenham Hotspur,Manchester City,Arsenal,AFC Bournemouth,Brighton & Hove Albion,Watford,Newcastle United,Aston Villa
72,Bernard,John Lundstram,Harvey Barnes,Christian Pulisic,Georginio Wijnaldum,Moussa Djenepo,Tom Trybull,Robbie Brady,Fred,Max Meyer,Daniel Podence,Michail Antonio,Lucas Moura,Rodri,Granit Xhaka,Philip Billing,Montoya,Kiko Femenía,Valentino LazaroL,Matt Targett
73,Brazil,England,England,United States,Netherlands,Mali,Germany,Republic of Ireland,Brazil,Germany,Portugal,England,Brazil,Spain,Switzerland,Denmark,Spain,Spain,Austria,England
74,78,75,78,80,85,75,73,76,80,76,78,78,82,85,80,76,76,76,77,75
75,78,78,85,86,85,83,74,76,82,79,82,78,82,89,81,82,76,76,82,82
76,28,26,22,21,29,22,27,28,27,24,24,30,28,24,27,24,29,29,24,24
77,1,1,2,3,2,2,1,2,2,2,3,3,2,2,2,1,2,1,3,2
78,14,5,22,119,61,3,0,5,30,13,15,93,43,42,47,4,4,2,17,9
79,3,2,3,3,2,3,2,3,2,3,3,3,3,2,2,2,1,1,1,1
80,Djibril SidibéL,Chris Basham,Ayoze Pérez,Andreas Christensen,Joel Matip,Sofiane Boufal,Onel Hernández,Jay Rodriguez,Luke Shaw,Cenk TosunL,Adama Traoré,Jack Wilshere,Tanguy Ndombele,Fernandinho,Héctor Bellerín,David Brooks,Dale Stephens,Tom Cleverley,Ciaran Clark,Anwar El Ghazi
81,France,England,Spain,Denmark,Cameroon,Morocco,Germany,England,England,Turkey,Spain,England,France,Brazil,Spain,Wales,England,England,Republic of Ireland,Netherlands
82,78,75,78,80,83,75,73,76,80,76,78,77,80,85,79,76,76,76,77,75
83,78,75,79,85,84,76,73,76,82,76,84,77,88,85,84,84,76,76,77,78
84,28,32,27,24,29,26,27,31,25,29,24,28,23,35,25,23,31,31,30,25
85,2,1,2,1,1,1,1,1,1,1,2,3,2,2,2,1,2,2,1,2
86,8,4,15,26,16,5,0,0,59,3,679,39,27,28,86,16,1,3,4,7
87,1,1,3,1,1,3,3,4,1,4,3,2,2,1,1,3,2,2,1,3
88,Séamus Coleman,Lys Mousset,Dennis Praet,Pedro,Joe Gomez,Stuart Armstrong,Kenny McLean,Jack Cork,Nemanja Matić,James McCarthy,Romain Saïss,Angelo Ogbonna,Harry Winks,İlkay Gündoğan,Shkodran Mustafi,Arnaut Danjuma Groeneveld,Adam Webster,Daryl Janmaat,Joelinton,Tyrone Mings
89,Republic of Ireland,France,Belgium,Spain,England,Scotland,Scotland,England,Serbia,Republic of Ireland,Morocco,Italy,England,Germany,Germany,Netherlands,England,Netherlands,Brazil,England
90,78,74,77,80,82,75,73,76,80,76,78,77,80,84,79,75,75,76,76,75
91,78,79,80,80,89,75,73,76,80,76,78,77,85,84,81,81,79,76,82,78
92,31,24,26,33,23,28,28,31,32,29,30,32,24,29,28,23,25,31,24,27
93,1,1,2,2,2,2,2,1,2,2,2,1,2,2,1,1,1,1,2,1
94,6,2,2,11,111,8,0,0,30,2,4,14,25,26,28,5,1,2,19,21
95,1,4,2,3,1,3,2,2,2,2,1,1,2,2,1,3,1,1,4,1
96,Mason Holgate,Oliver McBurnie,Marc Albrighton,Olivier Giroud,Naby Keïta,Oriol Romeu,Moritz Leitner,Jeff Hendrick,Juan Mata,Patrick van Aanholt,Conor Coady,Robert Snodgrass,Erik Lamela,Kyle Walker,Mattéo Guendouzi,Aaron Ramsdale,Solly March,Ignacio Pussetto,Nabil BentalebL,Björn Engels
97,England,Scotland,England,France,Guinea,Spain,Germany,Republic of Ireland,Spain,Netherlands,England,Scotland,Argentina,England,France,England,England,Argentina,Algeria,Belgium
98,77,74,76,80,82,75,73,75,80,76,78,77,80,83,77,75,75,75,76,75
99,81,81,76,80,86,76,74,75,80,76,80,77,80,83,86,83,78,81,80,80
100,23,24,30,33,25,28,27,28,32,30,27,33,28,30,21,22,26,24,25,25
101,2,1,3,1,2,2,2,3,2,1,1,2,3,1,2,1,2,2,3,1
102,21,10,2,86,26,0,0,24,16,9,9,9,21,34,50,20,1,2,4,2
103,1,4,3,4,2,2,2,3,2,1,1,3,3,1,2,0,3,4,2,1
104,Alex Iwobi,Phil Jagielka,Nampalys Mendy,Mason Mount,Xherdan Shaqiri,Kyle Walker-PetersL,Timm Klose,Matthew Lowton,Sergio Romero,Martin Kelly,Rúben Vinagre,Fabián Balbuena,Ben Davies,Gabriel Jesus,Kieran Tierney,Adam Smith,Glenn Murray,Nathaniel Chalobah,Isaac Hayden,Danny DrinkwaterL
105,Nigeria,England,France,England,Switzerland,England,Switzerland,England,Argentina,England,Portugal,Paraguay,Wales,Brazil,Scotland,England,England,England,England,England
106,77,74,75,79,81,74,73,75,80,76,72,76,79,82,77,75,75,75,76,75
107,81,74,75,87,81,79,73,75,80,76,83,77,80,88,86,75,75,79,83,75
108,24,38,28,21,28,23,32,31,33,30,21,29,27,23,23,29,36,25,25,30
109,1,1,2,3,2,1,1,1,1,2,1,1,2,1,1,2,1,2,2,1
110,11,1,2,119,19,10,2,1,7,0,19,2,12,80,54,4,2,6,11,4
111,3,1,2,2,3,1,1,1,0,1,1,1,1,4,1,1,4,2,2,2
