,home_team,hp1,hp2,hp3,hp4,hp5,hp6,hp7,hp8,hp9,hp10,hp11,away_team,ap1,ap2,ap3,ap4,ap5,ap6,ap7,ap8,ap9,ap10,ap11,home_score,away_score,diff_score,game_results,season
4529,AFC Bournemouth,Artur Boruc,Simon Francis,Charlie Daniels,Adam Smith,Steve Cook,Marc Pugh,Junior Stanislas,Lewis Cook,Harry Arter,Joshua King,Lys Mousset,Burnley,Tom Heaton,Matthew Lowton,James Tarkowski,Stephen Ward,Kevin Long,Jeff Hendrick,Scott Arfield,Ashley Westwood,George Boyd,Ashley Barnes,Sam Vokes,2,1,1,1,16
4530,Crystal Palace,Wayne Hennessey,Martin Kelly,Joel Ward,James Tomkins,Jeffrey Schlupp,Yohan Cabaye,Luka Milivojevic,Jason Puncheon,Andros Townsend,Wilfried Zaha,Christian Benteke,Hull City,Eldin Jakupovic,Michael Dawson,Andrew Robertson,Harry Maguire,Andrea Ranocchia,Ahmed El Mohamady,Alfred N'Diaye,Kamil Grosicki,Sam Clucas,Oumar Niasse,Evandro,4,0,4,1,16
4531,Everton,Joel Robles,Phil Jagielka,Leighton Baines,Ashley Williams,Mason Holgate,Idrissa Gueye,Morgan Schneiderlin,Tom Davies,Romelu Lukaku,Ross Barkley,Kevin Mirallas,Watford,Heurelho Gomes,Sebastian Prödl,Christian Kabasele,Adrian Mariappa,Daryl Janmaat,José Holebas,Abdoulaye Doucouré,Etienne Capoue,Valon Behrami,Stefano Okaka,Troy Deeney,1,0,1,1,16
4532,Manchester City,Willy Caballero,Fernandinho,Nicolás Otamendi,Gaël Clichy,Vincent Kompany,Leroy Sané,David Silva,Kevin De Bruyne,Yaya Touré,Raheem Sterling,Gabriel Jesus,Leicester City,Kasper Schmeichel,Danny Simpson,Ben Chilwell,Yohan Benalouane,Christian Fuchs,Riyad Mahrez,Wilfred Ndidi,Marc Albrighton,Andy King,Shinji Okazaki,Jamie Vardy,2,1,1,1,16
4533,Middlesbrough,Brad Guzan,George Friend,Calum Chambers,Ben Gibson,Fabio,Adam Clayton,Marten de Roon,Adam Forshaw,Stewart Downing,Álvaro Negredo,Patrick Bamford,Southampton,Fraser Forster,Ryan Bertrand,Jérémy Pied,Maya Yoshida,Martín Cáceres,Pierre-Emile Højbjerg,Jordy Clasie,Oriol Romeu,Shane Long,Jay Rodriguez,Sofiane Boufal,1,2,-1,2,16
4534,Stoke City,Jack Butland,Ryan Shawcross,Erik Pieters,Bruno Martins Indi,Glen Johnson,Glenn Whelan,Xherdan Shaqiri,Joe Allen,Geoff Cameron,Marko Arnautovic,Mame Biram Diouf,Arsenal,Petr Cech,Rob Holding,Laurent Koscielny,Shkodran Mustafi,Nacho Monreal,Héctor Bellerín,Granit Xhaka,Francis Coquelin,Mesut Özil,Olivier Giroud,Alexis Sánchez,1,4,-3,2,16
4535,Sunderland,Jordan Pickford,John O'Shea,Lamine Koné,Javier Manquillo,Billy Jones,Jason Denayer,Didier Ndong,Sebastian Larsson,Jermain Defoe,Fabio Borini,Victor Anichebe,Swansea City,Lukasz Fabianski,Alfie Mawson,Martin Olsson,Federico Fernández,Kyle Naughton,Ki Sung-Yueng,Leon Britton,Tom Carroll,Gylfi Sigurdsson,Fernando Llorente,Jordan Ayew,0,2,-2,2,16
4536,Tottenham Hotspur,Hugo Lloris,Jan Vertonghen,Ben Davies,Toby Alderweireld,Kieran Trippier,Dele Alli,Son Heung-Min,Christian Eriksen,Eric Dier,Victor Wanyama,Harry Kane,Manchester United,David de Gea,Chris Smalling,Eric Bailly,Daley Blind,Phil Jones,Wayne Rooney,Michael Carrick,Axel Tuanzebe,Jesse Lingard,Juan Mata,Anthony Martial,2,1,1,1,16
4537,West Bromwich Albion,Ben Foster,Allan-Roméo Nyom,Craig Dawson,Jonny Evans,Gareth McAuley,Sam Field,Darren Fletcher,James McClean,Jake Livermore,Chris Brunt,Salomón Rondón,Chelsea,Thibaut Courtois,César Azpilicueta,Gary Cahill,David Luiz,Nemanja Matic,Victor Moses,Cesc Fàbregas,Marcos Alonso,Eden Hazard,Diego Costa,Pedro,0,1,-1,2,16
4538,West Ham United,Adrián,Winston Reid,José Fonte,James Collins,Aaron Cresswell,Sam Byram,Edimilson Fernandes,Håvard Nordtveit,Jonathan Calleri,Manuel Lanzini,André Ayew,Liverpool,Simon Mignolet,James Milner,Nathaniel Clyne,Dejan Lovren,Joel Matip,Philippe Coutinho,Emre Can,Georginio Wijnaldum,Adam Lallana,Divock Origi,Daniel Sturridge,0,4,-4,2,16
4539,Arsenal,Petr Cech,Gabriel Paulista,Laurent Koscielny,Rob Holding,Nacho Monreal,Héctor Bellerín,Aaron Ramsey,Granit Xhaka,Danny Welbeck,Alexis Sánchez,Mesut Özil,Everton,Joel Robles,Phil Jagielka,Leighton Baines,Ashley Williams,Mason Holgate,Morgan Schneiderlin,Tom Davies,Idrissa Gueye,Romelu Lukaku,Enner Valencia,Kevin Mirallas,3,1,2,1,16
4540,Burnley,Tom Heaton,Stephen Ward,James Tarkowski,Kevin Long,Matthew Lowton,Ashley Westwood,Robbie Brady,Scott Arfield,Jeff Hendrick,Andre Gray,Sam Vokes,West Ham United,Adrián,James Collins,Angelo Ogbonna,José Fonte,Manuel Lanzini,Aaron Cresswell,Sam Byram,Edimilson Fernandes,Robert Snodgrass,Sofiane Feghouli,André Ayew,1,2,-1,2,16
4541,Chelsea,Thibaut Courtois,César Azpilicueta,David Luiz,John Terry,Cesc Fàbregas,Victor Moses,N'Golo Kanté,Marcos Alonso,Diego Costa,Eden Hazard,Willian,Sunderland,Jordan Pickford,John O'Shea,Billy Jones,Joleon Lescott,Lee Cattermole,Sebastian Larsson,Javier Manquillo,Bryan Oviedo,Jack Rodwell,Fabio Borini,Adnan Januzaj,5,1,4,1,16
4542,Hull City,David Marshall,Andrea Ranocchia,Curtis Davies,Michael Dawson,Omar Elabdellaoui,Alfred N'Diaye,Josh Tymon,Tom Huddlestone,Sam Clucas,Oumar Niasse,Jarrod Bowen,Tottenham Hotspur,Hugo Lloris,Toby Alderweireld,Jan Vertonghen,Kieran Trippier,Ben Davies,Christian Eriksen,Eric Dier,Son Heung-Min,Victor Wanyama,Dele Alli,Harry Kane,1,7,-6,2,16
4543,Leicester City,Kasper Schmeichel,Ben Chilwell,Danny Simpson,Yohan Benalouane,Christian Fuchs,Marc Albrighton,Andy King,Wilfred Ndidi,Riyad Mahrez,Jamie Vardy,Islam Slimani,AFC Bournemouth,Ryan Allsop,Steve Cook,Simon Francis,Charlie Daniels,Adam Smith,Marc Pugh,Junior Stanislas,Dan Gosling,Andrew Surman,Ryan Fraser,Lys Mousset,1,1,0,0,16
4544,Liverpool,Simon Mignolet,Joel Matip,Nathaniel Clyne,Dejan Lovren,James Milner,Adam Lallana,Georginio Wijnaldum,Emre Can,Philippe Coutinho,Daniel Sturridge,Roberto Firmino,Middlesbrough,Brad Guzan,George Friend,Fabio,Ben Gibson,Calum Chambers,Grant Leadbitter,Adam Clayton,Adam Forshaw,Stewart Downing,Patrick Bamford,Rudy Gestede,3,0,3,1,16
4545,Manchester United,Joel Pereira,Demetri Mitchell,Phil Jones,Eric Bailly,Timothy Fosu-Mensah,Paul Pogba,Scott McTominay,Axel Tuanzebe,Jesse Lingard,Wayne Rooney,Josh Harrop,Crystal Palace,Wayne Hennessey,Martin Kelly,Joel Ward,Jeffrey Schlupp,James Tomkins,Luka Milivojevic,Jason Puncheon,James McArthur,Patrick van Aanholt,Wilfried Zaha,Christian Benteke,2,0,2,1,16
4546,Southampton,Fraser Forster,Cédric Soares,Ryan Bertrand,Jack Stephens,Maya Yoshida,James Ward-Prowse,Nathan Redmond,Oriol Romeu,Steven Davis,Dusan Tadic,Charlie Austin,Stoke City,Jack Butland,Geoff Cameron,Ryan Shawcross,Bruno Martins Indi,Mame Biram Diouf,Joe Allen,Erik Pieters,Glenn Whelan,Xherdan Shaqiri,Ramadan Sobhi,Peter Crouch,0,1,-1,2,16
4547,Swansea City,Kristoffer Nordfeldt,Martin Olsson,Alfie Mawson,Federico Fernández,Kyle Naughton,Leroy Fer,Leon Britton,Tom Carroll,Gylfi Sigurdsson,Fernando Llorente,Jordan Ayew,West Bromwich Albion,Ben Foster,Jonny Evans,Marc Wilson,Craig Dawson,Claudio Yacob,Darren Fletcher,Jake Livermore,Chris Brunt,Allan-Roméo Nyom,James Morrison,Salomón Rondón,2,1,1,1,16
4548,Arsenal,Petr Cech,Sead Kolasinac,Rob Holding,Nacho Monreal,Mohamed Elneny,Granit Xhaka,Alex Oxlade-Chamberlain,Héctor Bellerín,Mesut Özil,Danny Welbeck,Alexandre Lacazette,Leicester City,Kasper Schmeichel,Christian Fuchs,Wes Morgan,Harry Maguire,Danny Simpson,Marc Albrighton,Matty James,Wilfred Ndidi,Riyad Mahrez,Shinji Okazaki,Jamie Vardy,4,3,1,1,17
4549,Brighton and Hove Albion,Mat Ryan,Lewis Dunk,Markus Suttner,Shane Duffy,Bruno,Davy Pröpper,Solly March,Dale Stephens,Isaiah Brown,Pascal Groß,Tomer Hemed,Manchester City,Ederson,Vincent Kompany,John Stones,Nicolás Otamendi,Fernandinho,Kyle Walker,David Silva,Kevin De Bruyne,Danilo,Sergio Agüero,Gabriel Jesus,0,2,-2,2,17
4550,Chelsea,Thibaut Courtois,Antonio Rüdiger,David Luiz,Gary Cahill,N'Golo Kanté,Cesc Fàbregas,Marcos Alonso,César Azpilicueta,Willian,Jeremie Boga,Michy Batshuayi,Burnley,Tom Heaton,Matthew Lowton,Stephen Ward,Ben Mee,James Tarkowski,Jóhann Gudmundsson,Robbie Brady,Steven Defour,Jack Cork,Sam Vokes,Jeff Hendrick,2,3,-1,2,17
