,home_team,hp1,hp2,hp3,hp4,hp5,hp6,hp7,hp8,hp9,hp10,hp11,away_team,ap1,ap2,ap3,ap4,ap5,ap6,ap7,ap8,ap9,ap10,ap11,home_score,away_score,diff_score,game_results,season
1466,Everton,Tim Howard,Joleon Lescott,Phil Jagielka,Dan Gosling,Leighton Baines,Tony Hibbert,Leon Osman,Phil Neville,Tim Cahill,Mikel Arteta,Jô,Bolton Wanderers,Jussi Jääskeläinen,Andy O'Brien,Matthew Taylor,Jlloyd Samuel,Grétar Steinsson,Gary Cahill,Sébastien Puygrenier,Mark Davies,Fabrice Muamba,Kevin Davies,Ariza Makukula,3,0,3,1,8
1467,Manchester City,Shay Given,Nedum Onuoha,Vincent Kompany,Micah Richards,Pablo Zabaleta,Wayne Bridge,Shaun Wright-Phillips,Stephen Ireland,Nigel de Jong,Robinho,Craig Bellamy,Middlesbrough,Brad Jones,Robert Huth,Matthew Bates,Chris Riggott,Emanuel Pogatetz,David Wheater,Stewart Downing,Adam Johnson,Didier Digard,Marlon King,Afonso Alves,1,0,1,1,8
1468,Portsmouth,David James,Glen Johnson,Hermann Hreidarsson,Sol Campbell,Sylvain Distin,Nadir Belhadj,Sean Davis,Hayden Mullins,Angelos Basinas,Peter Crouch,David Nugent,Liverpool,Pepe Reina,Jamie Carragher,Fábio Aurélio,Álvaro Arbeloa,Daniel Agger,Martin Skrtel,Andrea Dossena,Ryan Babel,Yossi Benayoun,Javier Mascherano,David N'Gog,2,3,-1,2,8
1469,Sunderland,Marton Fülöp,Phil Bardsley,Danny Collins,George McCartney,Anton Ferdinand,Steed Malbranque,Dean Whitehead,Andy Reid,Kieran Richardson,Djibril Cissé,Kenwyne Jones,Stoke City,Thomas Sørensen,Andy Wilkinson,Ryan Shawcross,Abdoulaye Diagne-Faye,Stephen Kelly,Salif Diao,Glenn Whelan,Matthew Etherington,Ricardo Fuller,James Beattie,Richard Cresswell,2,0,2,1,8
1470,West Bromwich Albion,Scott Carson,Paul Robinson,Carl Hoefkens,Leon Barnett,Abdoulaye Méité,Chris Brunt,Robert Koren,Kim Do-Heon,James Morrison,Borja Valero,Marc-Antoine Fortuné,Newcastle United,Steve Harper,Fabricio Coloccini,Ryan Taylor,José Enrique,Steven Taylor,Sebastien Bassong,Nicky Butt,Kevin Nolan,Damien Duff,Peter Løvenkrands,Shola Ameobi,2,3,-1,2,8
1471,Wigan Athletic,Chris Kirkland,Titus Bramble,Paul Scharner,Maynor Figueroa,Mario Melchiot,Charles N'Zogbia,Luis Antonio Valencia,Michael Brown,Lee Cattermole,Hugo Rodallega,Mido,Fulham,Mark Schwarzer,Aaron Hughes,John Pantsil,Paul Konchesky,Brede Hangeland,Dickson Etuhu,Danny Murphy,Clint Dempsey,Simon Davies,Bobby Zamora,Andrew Johnson,0,0,0,0,8
1472,Tottenham Hotspur,Carlo Cudicini,Michael Dawson,Benoit Assou-Ekotto,Vedran Corluka,Jonathan Woodgate,Aaron Lennon,Wilson Palacios,Jermaine Jenas,Luka Modric,Robbie Keane,Roman Pavlyuchenko,Arsenal,Manuel Almunia,Gaël Clichy,William Gallas,Alexandre Song,Bacary Sagna,Kolo Touré,Emmanuel Eboué,Denilson,Samir Nasri,Emmanuel Adebayor,Robin van Persie,0,0,0,0,8
1473,West Ham United,Robert Green,Hérita Ilunga,James Collins,Lucas Neill,Matt Upson,Valon Behrami,Scott Parker,Mark Noble,Jack Collison,David Di Michele,Carlton Cole,Manchester United,Edwin van der Sar,Rio Ferdinand,Nemanja Vidic,John O'Shea,Rafael,Michael Carrick,Paul Scholes,Ryan Giggs,Cristiano Ronaldo,Carlos Tevez,Dimitar Berbatov,0,1,-1,2,8
1474,Portsmouth,David James,Glen Johnson,Hermann Hreidarsson,Sol Campbell,Sylvain Distin,Jermaine Pennant,Sean Davis,Niko Kranjcar,Angelos Basinas,Peter Crouch,David Nugent,Manchester City,Shay Given,Nedum Onuoha,Pablo Zabaleta,Vincent Kompany,Shaleum Logan,Wayne Bridge,Elano,Stephen Ireland,Nigel de Jong,Robinho,Craig Bellamy,2,3,-1,2,8
1475,Manchester United,Edwin van der Sar,Rio Ferdinand,John O'Shea,Nemanja Vidic,Patrice Evra,Michael Carrick,Park Ji-Sung,Paul Scholes,Cristiano Ronaldo,Dimitar Berbatov,Carlos Tevez,Fulham,Mark Schwarzer,Aaron Hughes,Chris Baird,Brede Hangeland,Toni Kallio,John Pantsil,Clint Dempsey,Danny Murphy,Zoltán Gera,Simon Davies,Bobby Zamora,0,1,-1,2,8
1476,Arsenal,Manuel Almunia,Gaël Clichy,William Gallas,Bacary Sagna,Alexandre Song,Kolo Touré,Denilson,Samir Nasri,Andrey Arshavin,Nicklas Bendtner,Robin van Persie,Sunderland,Marton Fülöp,Danny Collins,George McCartney,Tal Ben Haim,Anton Ferdinand,Dean Whitehead,Andy Reid,Kieran Richardson,Steed Malbranque,Teemu Tainio,Kenwyne Jones,0,0,0,0,8
1477,Aston Villa,Brad Friedel,Carlos Cuellar,Luke Young,Zat Knight,Curtis Davies,Stiliyan Petrov,Gareth Barry,Ashley Young,James Milner,Gabriel Agbonlahor,Emile Heskey,Chelsea,Petr Cech,Alex,Paulo Ferreira,John Terry,José Bosingwa,Michael Ballack,John Obi Mikel,Frank Lampard,Salomon Kalou,Didier Drogba,Nicolas Anelka,0,1,-1,2,8
1478,Bolton Wanderers,Jussi Jääskeläinen,Matthew Taylor,Jlloyd Samuel,Ricardo Gardner,Grétar Steinsson,Gary Cahill,Sébastien Puygrenier,Gavin McCann,Mark Davies,Kevin Davies,Johan Elmander,West Ham United,Robert Green,Hérita Ilunga,James Collins,Jonathan Spector,Matt Upson,Mark Noble,Scott Parker,Valon Behrami,Jack Collison,David Di Michele,Carlton Cole,2,1,1,1,8
1479,Manchester United,Tomasz Kuszczak,Rio Ferdinand,Rafael,Patrice Evra,Jonny Evans,Nani,Michael Carrick,Paul Scholes,Cristiano Ronaldo,Dimitar Berbatov,Wayne Rooney,Blackburn Rovers,Paul Robinson,Ryan Nelsen,Gaël Givet,Stephen Warnock,André Ooijer,Vince Grella,David Dunn,Keith Andrews,Morten Gamst Pedersen,El Hadji Diouf,Roque Santa Cruz,2,1,1,1,8
1480,Middlesbrough,Brad Jones,Robert Huth,Justin Hoyte,Emanuel Pogatetz,David Wheater,Stewart Downing,Adam Johnson,Julio Arca,Gary O'Neil,Didier Digard,Afonso Alves,Wigan Athletic,Chris Kirkland,Titus Bramble,Emmerson Boyce,Maynor Figueroa,Mario Melchiot,Michael Brown,Charles N'Zogbia,Ben Watson,Lee Cattermole,Olivier Kapo,Amr Zaki,0,0,0,0,8
1481,Stoke City,Thomas Sørensen,Danny Higginbotham,Danny Pugh,Andy Wilkinson,Abdoulaye Diagne-Faye,Ryan Shawcross,Salif Diao,Amdy Faye,Liam Lawrence,Mamady Sidibe,James Beattie,Portsmouth,David James,Glen Johnson,Hermann Hreidarsson,Sol Campbell,Sylvain Distin,Sean Davis,Jermaine Pennant,Angelos Basinas,Niko Kranjcar,David Nugent,Peter Crouch,2,2,0,0,8
1482,Fulham,Mark Schwarzer,John Pantsil,Aaron Hughes,Paul Konchesky,Brede Hangeland,Clint Dempsey,Danny Murphy,Dickson Etuhu,Simon Davies,Bobby Zamora,Andrew Johnson,West Bromwich Albion,Scott Carson,Gianni Zuiverloon,Paul Robinson,Leon Barnett,Abdoulaye Méité,Borja Valero,James Morrison,Robert Koren,Filipe Andrade Teixeira,Marc-Antoine Fortuné,Jay Simpson,2,0,2,1,8
1483,Liverpool,Pepe Reina,Jamie Carragher,Álvaro Arbeloa,Martin Skrtel,Andrea Dossena,Javier Mascherano,Yossi Benayoun,Lucas Leiva,Albert Riera,Fernando Torres,Dirk Kuyt,Manchester City,Shay Given,Nedum Onuoha,Richard Dunne,Vincent Kompany,Micah Richards,Pablo Zabaleta,Wayne Bridge,Stephen Ireland,Nigel de Jong,Robinho,Craig Bellamy,1,1,0,0,8
1484,Newcastle United,Steve Harper,Fabricio Coloccini,Ryan Taylor,José Enrique,Sebastien Bassong,Steven Taylor,Nicky Butt,Kevin Nolan,Damien Duff,Peter Løvenkrands,Shola Ameobi,Everton,Tim Howard,Joleon Lescott,Leighton Baines,Joseph Yobo,Phil Jagielka,Jack Rodwell,Dan Gosling,Phil Neville,Mikel Arteta,Jô,Victor Anichebe,0,0,0,0,8
1485,Hull City,Matt Duke,Sam Ricketts,Michael Turner,Anthony Gardner,Andy Dawson,Kamil Zayatte,Ian Ashbee,Dean Marney,Kevin Kilbane,Richard Garcia,Daniel Cousin,Tottenham Hotspur,Carlo Cudicini,Jonathan Woodgate,Benoit Assou-Ekotto,Vedran Corluka,Ledley King,Aaron Lennon,Wilson Palacios,Jermaine Jenas,Luka Modric,Robbie Keane,Darren Bent,1,2,-1,2,8
1486,Arsenal,Manuel Almunia,William Gallas,Gaël Clichy,Bacary Sagna,Kolo Touré,Denilson,Samir Nasri,Abou Diaby,Andrey Arshavin,Carlos Vela,Robin van Persie,Fulham,Mark Schwarzer,Aaron Hughes,Paul Konchesky,Brede Hangeland,Chris Baird,Danny Murphy,Dickson Etuhu,Clint Dempsey,Simon Davies,Andrew Johnson,Bobby Zamora,0,0,0,0,8
1487,Chelsea,Petr Cech,Alex,Ashley Cole,John Terry,Michael Mancienne,Michael Ballack,John Obi Mikel,Frank Lampard,Salomon Kalou,Nicolas Anelka,Didier Drogba,Wigan Athletic,Chris Kirkland,Titus Bramble,Paul Scharner,Emmerson Boyce,Maynor Figueroa,Mario Melchiot,Michael Brown,Charles N'Zogbia,Olivier Kapo,Lee Cattermole,Amr Zaki,2,1,1,1,8
1488,Everton,Tim Howard,Leighton Baines,Joseph Yobo,Phil Jagielka,Dan Gosling,Tony Hibbert,Marouane Fellaini,Tim Cahill,Phil Neville,Steven Pienaar,Jô,West Bromwich Albion,Scott Carson,Ryan Donk,Gianni Zuiverloon,Paul Robinson,Abdoulaye Méité,Robert Koren,Chris Brunt,James Morrison,Borja Valero,Marc-Antoine Fortuné,Jay Simpson,2,0,2,1,8
1489,Middlesbrough,Brad Jones,Robert Huth,Justin Hoyte,Matthew Bates,Emanuel Pogatetz,David Wheater,Stewart Downing,Julio Arca,Gary O'Neil,Tuncay Sanli,Jérémie Aliadière,Liverpool,Pepe Reina,Fábio Aurélio,Jamie Carragher,Sami Hyypiä,Martin Skrtel,Javier Mascherano,Nabil El Zhar,Xabi Alonso,Ryan Babel,Steven Gerrard,Dirk Kuyt,2,0,2,1,8
1490,Aston Villa,Brad Friedel,Carlos Cuellar,Luke Young,Zat Knight,Curtis Davies,Stiliyan Petrov,Gareth Barry,Ashley Young,James Milner,Emile Heskey,Gabriel Agbonlahor,Stoke City,Thomas Sørensen,Danny Higginbotham,Danny Pugh,Ibrahima Sonko,Andy Wilkinson,Ryan Shawcross,Salif Diao,Liam Lawrence,Amdy Faye,Mamady Sidibe,James Beattie,2,2,0,0,8
1491,Bolton Wanderers,Jussi Jääskeläinen,Andy O'Brien,Matthew Taylor,Jlloyd Samuel,Grétar Steinsson,Gary Cahill,Gavin McCann,Mark Davies,Fabrice Muamba,Kevin Davies,Johan Elmander,Newcastle United,Steve Harper,Fabricio Coloccini,Ryan Taylor,José Enrique,Sebastien Bassong,Steven Taylor,Nicky Butt,Jonás Gutiérrez,Obafemi Martins,Peter Løvenkrands,Shola Ameobi,1,0,1,1,8
1492,Hull City,Matt Duke,Kamil Zayatte,Michael Turner,Bernard Mendy,Andy Dawson,Ian Ashbee,Dean Marney,Nathan Doyle,Kevin Kilbane,Geovanni,Richard Garcia,Blackburn Rovers,Paul Robinson,Ryan Nelsen,Gaël Givet,Stephen Warnock,Christopher Samba,André Ooijer,Vince Grella,Keith Andrews,Morten Gamst Pedersen,El Hadji Diouf,Roque Santa Cruz,1,2,-1,2,8
1493,West Ham United,Robert Green,Hérita Ilunga,James Tomkins,Lucas Neill,Matt Upson,Valon Behrami,Radoslav Kovac,Scott Parker,Jack Collison,Carlton Cole,David Di Michele,Manchester City,Shay Given,Nedum Onuoha,Richard Dunne,Micah Richards,Vincent Kompany,Pablo Zabaleta,Wayne Bridge,Nigel de Jong,Stephen Ireland,Robinho,Craig Bellamy,1,0,1,1,8
1494,Liverpool,Pepe Reina,Jamie Carragher,Emiliano Insúa,Martin Skrtel,Albert Riera,Javier Mascherano,Xabi Alonso,Steven Gerrard,Yossi Benayoun,Dirk Kuyt,David N'Gog,Sunderland,Marton Fülöp,Danny Collins,George McCartney,Tal Ben Haim,Anton Ferdinand,Grant Leadbitter,Andy Reid,Steed Malbranque,Dean Whitehead,Kieran Richardson,Kenwyne Jones,2,0,2,1,8
1495,Portsmouth,David James,Glen Johnson,Hermann Hreidarsson,Sol Campbell,Sylvain Distin,Jermaine Pennant,Sean Davis,Niko Kranjcar,Hayden Mullins,Peter Crouch,David Nugent,Chelsea,Petr Cech,Alex,Ashley Cole,John Terry,José Bosingwa,John Obi Mikel,Florent Malouda,Michael Ballack,Frank Lampard,Salomon Kalou,Didier Drogba,0,1,-1,2,8
1496,West Bromwich Albion,Scott Carson,Ryan Donk,Gianni Zuiverloon,Paul Robinson,Abdoulaye Méité,Jonathan Greening,Chris Brunt,James Morrison,Robert Koren,Marc-Antoine Fortuné,Luke Moore,Arsenal,Manuel Almunia,Alexandre Song,Johan Djourou,Bacary Sagna,Kolo Touré,Gaël Clichy,Denilson,Samir Nasri,Emmanuel Eboué,Andrey Arshavin,Nicklas Bendtner,1,3,-2,2,8
1497,Blackburn Rovers,Jason Brown,Ryan Nelsen,Gaël Givet,Stephen Warnock,Christopher Samba,André Ooijer,Vince Grella,Keith Andrews,El Hadji Diouf,Roque Santa Cruz,Jason Roberts,Everton,Tim Howard,Joleon Lescott,Leighton Baines,Joseph Yobo,Phil Jagielka,Jack Rodwell,Tim Cahill,Leon Osman,Phil Neville,Steven Pienaar,Jô,0,0,0,0,8
1498,Fulham,Mark Schwarzer,Aaron Hughes,John Pantsil,Paul Konchesky,Brede Hangeland,Clint Dempsey,Danny Murphy,Dickson Etuhu,Simon Davies,Bobby Zamora,Andrew Johnson,Hull City,Matt Duke,Kamil Zayatte,Sam Ricketts,Michael Turner,Anthony Gardner,Bernard Mendy,Ian Ashbee,Kevin Kilbane,Geovanni,Craig Fagan,Daniel Cousin,0,1,-1,2,8
1499,Manchester City,Shay Given,Nedum Onuoha,Richard Dunne,Vincent Kompany,Pablo Zabaleta,Wayne Bridge,Elano,Nigel de Jong,Shaun Wright-Phillips,Stephen Ireland,Felipe Caicedo,Aston Villa,Brad Friedel,Luke Young,Zat Knight,Carlos Cuellar,Curtis Davies,Stiliyan Petrov,Gareth Barry,Ashley Young,James Milner,Gabriel Agbonlahor,Emile Heskey,2,0,2,1,8
1500,Newcastle United,Steve Harper,Ryan Taylor,Fabricio Coloccini,José Enrique,Sebastien Bassong,Steven Taylor,Geremi,Jonás Gutiérrez,Alan Smith,Obafemi Martins,Peter Løvenkrands,Manchester United,Edwin van der Sar,Rio Ferdinand,Nemanja Vidic,John O'Shea,Patrice Evra,Michael Carrick,Darren Fletcher,Park Ji-Sung,Cristiano Ronaldo,Dimitar Berbatov,Wayne Rooney,1,2,-1,2,8
1501,Stoke City,Thomas Sørensen,Danny Higginbotham,Andy Wilkinson,Abdoulaye Diagne-Faye,Ryan Shawcross,Rory Delap,Liam Lawrence,Salif Diao,Glenn Whelan,Mamady Sidibe,James Beattie,Bolton Wanderers,Jussi Jääskeläinen,Andy O'Brien,Matthew Taylor,Jlloyd Samuel,Grétar Steinsson,Gary Cahill,Gavin McCann,Mark Davies,Fabrice Muamba,Kevin Davies,Johan Elmander,2,0,2,1,8
1502,Tottenham Hotspur,Heurelho Gomes,Michael Dawson,Benoit Assou-Ekotto,Jonathan Woodgate,Luka Modric,Didier Zokora,Wilson Palacios,Aaron Lennon,Jermaine Jenas,Robbie Keane,Roman Pavlyuchenko,Middlesbrough,Brad Jones,Matthew Bates,Robert Huth,Justin Hoyte,Emanuel Pogatetz,David Wheater,Julio Arca,Stewart Downing,Gary O'Neil,Jérémie Aliadière,Tuncay Sanli,4,0,4,1,8
1503,Wigan Athletic,Chris Kirkland,Emmerson Boyce,Maynor Figueroa,Mario Melchiot,Titus Bramble,Charles N'Zogbia,Luis Antonio Valencia,Michael Brown,Lee Cattermole,Amr Zaki,Mido,West Ham United,Robert Green,Hérita Ilunga,James Tomkins,Lucas Neill,Matt Upson,Mark Noble,Radoslav Kovac,Scott Parker,Jack Collison,Carlton Cole,David Di Michele,0,1,-1,2,8
1504,Sunderland,Marton Fülöp,Phil Bardsley,Danny Collins,George McCartney,Tal Ben Haim,Kieran Richardson,Dean Whitehead,Andy Reid,Steed Malbranque,Djibril Cissé,Kenwyne Jones,Tottenham Hotspur,Heurelho Gomes,Pascal Chimbonda,Ledley King,Vedran Corluka,Jonathan Woodgate,Wilson Palacios,Aaron Lennon,Luka Modric,Jermaine Jenas,Robbie Keane,Darren Bent,2,0,2,1,8
1505,Fulham,Mark Schwarzer,Aaron Hughes,John Pantsil,Paul Konchesky,Brede Hangeland,Simon Davies,Clint Dempsey,Zoltán Gera,Danny Murphy,Dickson Etuhu,Andrew Johnson,Blackburn Rovers,Paul Robinson,Ryan Nelsen,Gaël Givet,Stephen Warnock,Christopher Samba,André Ooijer,Keith Andrews,Morten Gamst Pedersen,Tugay,Jason Roberts,El Hadji Diouf,0,1,-1,2,8
1506,Arsenal,Manuel Almunia,Johan Djourou,Alexandre Song,Bacary Sagna,Gaël Clichy,Kolo Touré,Denilson,Samir Nasri,Theo Walcott,Andrey Arshavin,Nicklas Bendtner,Blackburn Rovers,Paul Robinson,Zurab Khizanishvili,Stephen Warnock,Gaël Givet,Christopher Samba,Danny Simpson,André Ooijer,Aaron Mokoena,Morten Gamst Pedersen,Jason Roberts,El Hadji Diouf,4,0,4,1,8
1507,Bolton Wanderers,Jussi Jääskeläinen,Andy O'Brien,Matthew Taylor,Ricardo Gardner,Jlloyd Samuel,Grétar Steinsson,Gary Cahill,Gavin McCann,Mark Davies,Kevin Davies,Johan Elmander,Fulham,Mark Schwarzer,Aaron Hughes,John Pantsil,Paul Konchesky,Brede Hangeland,Clint Dempsey,Danny Murphy,Dickson Etuhu,Simon Davies,Bobby Zamora,Andrew Johnson,1,3,-2,2,8
1508,Everton,Tim Howard,Joleon Lescott,Leighton Baines,Joseph Yobo,Phil Jagielka,Leon Osman,Marouane Fellaini,Phil Neville,Steven Pienaar,Tim Cahill,Jô,Stoke City,Thomas Sørensen,Danny Higginbotham,Andy Wilkinson,Abdoulaye Diagne-Faye,Ryan Shawcross,Salif Diao,Glenn Whelan,Rory Delap,Liam Lawrence,Mamady Sidibe,James Beattie,3,1,2,1,8
1509,Hull City,Matt Duke,Kamil Zayatte,Sam Ricketts,Michael Turner,Anthony Gardner,Bernard Mendy,Craig Fagan,Geovanni,Ian Ashbee,Kevin Kilbane,Daniel Cousin,Newcastle United,Steve Harper,Fabricio Coloccini,José Enrique,Sebastien Bassong,Steven Taylor,Geremi,Nicky Butt,Jonás Gutiérrez,Alan Smith,Michael Owen,Obafemi Martins,1,1,0,0,8
1510,Manchester United,Edwin van der Sar,Rio Ferdinand,Nemanja Vidic,John O'Shea,Patrice Evra,Anderson,Michael Carrick,Park Ji-Sung,Cristiano Ronaldo,Carlos Tevez,Wayne Rooney,Liverpool,Pepe Reina,Jamie Carragher,Fábio Aurélio,Sami Hyypiä,Martin Skrtel,Javier Mascherano,Lucas Leiva,Albert Riera,Steven Gerrard,Fernando Torres,Dirk Kuyt,1,4,-3,2,8
1511,Middlesbrough,Brad Jones,Robert Huth,Tony McMahon,Matthew Bates,Emanuel Pogatetz,David Wheater,Stewart Downing,Julio Arca,Marlon King,Jérémie Aliadière,Tuncay Sanli,Portsmouth,David James,Glen Johnson,Hermann Hreidarsson,Sol Campbell,Sylvain Distin,Jermaine Pennant,Sean Davis,Hayden Mullins,Niko Kranjcar,David Nugent,Peter Crouch,1,1,0,0,8
1512,Sunderland,Marton Fülöp,Tal Ben Haim,Phil Bardsley,Danny Collins,George McCartney,Grant Leadbitter,Steed Malbranque,Dean Whitehead,Andy Reid,Djibril Cissé,Kenwyne Jones,Wigan Athletic,Chris Kirkland,Titus Bramble,Paul Scharner,Emmerson Boyce,Maynor Figueroa,Mario Melchiot,Michael Brown,Charles N'Zogbia,Luis Antonio Valencia,Ben Watson,Mido,1,2,-1,2,8
1513,Aston Villa,Brad Friedel,Carlos Cuellar,Zat Knight,Luke Young,Stiliyan Petrov,Gareth Barry,Ashley Young,James Milner,Nigel Reo-Coker,Gabriel Agbonlahor,Emile Heskey,Tottenham Hotspur,Heurelho Gomes,Benoit Assou-Ekotto,Ledley King,Jonathan Woodgate,Luka Modric,Didier Zokora,Wilson Palacios,Aaron Lennon,Jermaine Jenas,Robbie Keane,Darren Bent,1,2,-1,2,8
1514,Chelsea,Petr Cech,Ashley Cole,John Terry,Ricardo Carvalho,José Bosingwa,Michael Ballack,Michael Essien,Deco,Frank Lampard,Didier Drogba,Nicolas Anelka,Manchester City,Shay Given,Richard Dunne,Nedum Onuoha,Pablo Zabaleta,Micah Richards,Wayne Bridge,Elano,Shaun Wright-Phillips,Stephen Ireland,Robinho,Felipe Caicedo,1,0,1,1,8
1515,West Ham United,Robert Green,Hérita Ilunga,Matt Upson,James Tomkins,Lucas Neill,Savio Nsereko,Scott Parker,Mark Noble,Radoslav Kovac,David Di Michele,Freddie Sears,West Bromwich Albion,Scott Carson,Shelton Martis,Gianni Zuiverloon,Paul Robinson,Jonas Olsson,Jonathan Greening,James Morrison,Chris Brunt,Robert Koren,Graham Dorrans,Marc-Antoine Fortuné,0,0,0,0,8
1516,Aston Villa,Brad Friedel,Carlos Cuellar,Nicky Shorey,Curtis Davies,Habib Beye,Stiliyan Petrov,Ashley Young,James Milner,Fabian Delph,Gabriel Agbonlahor,Emile Heskey,Wigan Athletic,Chris Kirkland,Titus Bramble,Paul Scharner,Maynor Figueroa,Mario Melchiot,Michael Brown,Jordi Gómez,Jason Koumas,Charles N'Zogbia,Hendry Thomas,Hugo Rodallega,0,2,-2,2,9
1517,Blackburn Rovers,Paul Robinson,Lars Jacobsen,Stephen Warnock,Gaël Givet,Christopher Samba,El Hadji Diouf,Keith Andrews,Steven Nzonzi,Morten Gamst Pedersen,Benni McCarthy,Jason Roberts,Manchester City,Shay Given,Kolo Touré,Richard Dunne,Wayne Bridge,Micah Richards,Gareth Barry,Shaun Wright-Phillips,Stephen Ireland,Emmanuel Adebayor,Robinho,Craig Bellamy,0,2,-2,2,9
1518,Bolton Wanderers,Jussi Jääskeläinen,Sam Ricketts,Zat Knight,Gary Cahill,Paul Robinson,Gavin McCann,Matthew Taylor,Sean Davis,Fabrice Muamba,Kevin Davies,Johan Elmander,Sunderland,Marton Fülöp,Anton Ferdinand,Phil Bardsley,Danny Collins,George McCartney,Steed Malbranque,Lorik Cana,Kieran Richardson,Lee Cattermole,Darren Bent,Kenwyne Jones,0,1,-1,2,9
1519,Chelsea,Petr Cech,Ashley Cole,John Terry,Ricardo Carvalho,José Bosingwa,Michael Essien,Florent Malouda,John Obi Mikel,Frank Lampard,Didier Drogba,Nicolas Anelka,Hull City,Boaz Myhill,Michael Turner,Anthony Gardner,Steven Mouyokolo,Andy Dawson,George Boateng,Stephen Hunt,Bernard Mendy,Dean Marney,Seyi Olofinjana,Caleb Folan,2,1,1,1,9
1520,Everton,Tim Howard,Leighton Baines,Joleon Lescott,Joseph Yobo,Tony Hibbert,Tim Cahill,Leon Osman,Marouane Fellaini,Phil Neville,Steven Pienaar,Jô,Arsenal,Manuel Almunia,William Gallas,Bacary Sagna,Gaël Clichy,Thomas Vermaelen,Denilson,Andrey Arshavin,Cesc Fàbregas,Alexandre Song,Robin van Persie,Nicklas Bendtner,1,6,-5,2,9
1521,Portsmouth,David James,Younes Kaboul,Sylvain Distin,Nadir Belhadj,Aaron Mokoena,Niko Kranjcar,Hayden Mullins,John Utaka,Papa Bouba Diop,Marc Wilson,Frédéric Piquionne,Fulham,Mark Schwarzer,John Pantsil,Aaron Hughes,Paul Konchesky,Brede Hangeland,Clint Dempsey,Zoltán Gera,Danny Murphy,Dickson Etuhu,Andrew Johnson,Bobby Zamora,0,1,-1,2,9
1522,Stoke City,Thomas Sørensen,Danny Higginbotham,Andy Wilkinson,Abdoulaye Diagne-Faye,Ryan Shawcross,Rory Delap,Liam Lawrence,Matthew Etherington,Dean Whitehead,Ricardo Fuller,James Beattie,Burnley,Brian Jensen,Graham Alexander,Clarke Carlisle,Tyrone Mears,Stephen Jordan,Christian Kalvenes,Chris McCann,Wade Elliott,Robbie Blake,Martin Paterson,Steven Fletcher,2,0,2,1,9
1523,Wolverhampton Wanderers,Wayne Hennessey,Kevin Foley,Michael Mancienne,Jody Craddock,Nenad Milijas,Karl Henry,Stephen Ward,Matthew Jarvis,Greg Halford,Sylvan Ebanks-Blake,Andy Keogh,West Ham United,Robert Green,James Collins,Hérita Ilunga,Matt Upson,Mark Noble,Scott Parker,Luis Jiménez,Kieron Dyer,Jack Collison,Julien Faubert,Carlton Cole,0,2,-2,2,9
1524,Manchester United,Ben Foster,John O'Shea,Patrice Evra,Fabio,Jonny Evans,Nani,Darren Fletcher,Paul Scholes,Luis Antonio Valencia,Dimitar Berbatov,Wayne Rooney,Birmingham City,Joe Hart,Stephen Carr,Grégory Vignal,Franck Queudrue,Roger Johnson,Barry Ferguson,Sebastian Larsson,Lee Carsley,Keith Fahey,James McFadden,Cameron Jerome,1,0,1,1,9
1525,Tottenham Hotspur,Heurelho Gomes,Sebastien Bassong,Benoit Assou-Ekotto,Vedran Corluka,Ledley King,Luka Modric,Tom Huddlestone,Wilson Palacios,Aaron Lennon,Jermain Defoe,Robbie Keane,Liverpool,Pepe Reina,Jamie Carragher,Emiliano Insúa,Martin Skrtel,Glen Johnson,Ryan Babel,Lucas Leiva,Javier Mascherano,Steven Gerrard,Dirk Kuyt,Fernando Torres,2,1,1,1,9
1526,Sunderland,Marton Fülöp,Anton Ferdinand,Phil Bardsley,Danny Collins,George McCartney,Jordan Henderson,Lorik Cana,Kieran Richardson,Lee Cattermole,Darren Bent,Kenwyne Jones,Chelsea,Petr Cech,Ashley Cole,John Terry,Branislav Ivanovic,José Bosingwa,Michael Ballack,Michael Essien,Deco,Frank Lampard,Salomon Kalou,Didier Drogba,1,3,-2,2,9
1527,Wigan Athletic,Chris Kirkland,Titus Bramble,Paul Scharner,Maynor Figueroa,Mario Melchiot,Charles N'Zogbia,Jordi Gómez,Michael Brown,Jason Koumas,Hendry Thomas,Hugo Rodallega,Wolverhampton Wanderers,Wayne Hennessey,Richard Stearman,Michael Mancienne,Jody Craddock,Greg Halford,Nenad Milijas,Karl Henry,David Edwards,Stephen Ward,Matthew Jarvis,Andy Keogh,0,1,-1,2,9
1528,Birmingham City,Joe Hart,Grégory Vignal,Stephen Carr,Franck Queudrue,Roger Johnson,Sebastian Larsson,Barry Ferguson,Keith Fahey,James McFadden,Garry O'Connor,Cameron Jerome,Portsmouth,David James,Anthony Vanden Borre,Younes Kaboul,Sylvain Distin,Nadir Belhadj,Aaron Mokoena,Niko Kranjcar,Hayden Mullins,Papa Bouba Diop,Marc Wilson,Frédéric Piquionne,1,0,1,1,9
1529,Burnley,Brian Jensen,Graham Alexander,Clarke Carlisle,André Bikey,Tyrone Mears,Stephen Jordan,Chris McCann,Wade Elliott,Steven Fletcher,Martin Paterson,Robbie Blake,Manchester United,Ben Foster,Jonny Evans,John O'Shea,Wes Brown,Patrice Evra,Anderson,Michael Carrick,Park Ji-Sung,Ryan Giggs,Michael Owen,Wayne Rooney,1,0,1,1,9
